Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas38            Pavarde38           10        1         8         7         4         2         8         6         6         8         8         1         4         6         3         1         
Vardas39            Pavarde39           3         2         2         10        7         1         1         10        10        9         1         3         2         1         2         4         
Vardas40            Pavarde40           2         5         6         4         2         7         7         3         9         7         5         3         2         7         1         3         
Vardas41            Pavarde41           3         2         10        2         1         5         2         9         6         3         9         3         1         2         1         7         
Vardas42            Pavarde42           1         6         6         5         8         3         9         7         10        3         3         9         6         5         4         2         
Vardas43            Pavarde43           4         1         3         1         3         10        10        7         2         2         3         10        1         8         1         4         
Vardas44            Pavarde44           1         1         1         4         9         3         2         6         10        5         2         6         2         4         5         6         
Vardas45            Pavarde45           1         5         4         4         8         1         3         8         6         9         10        3         7         10        3         2         
Vardas46            Pavarde46           1         10        2         2         3         8         10        9         10        2         9         2         10        6         2         7         
Vardas47            Pavarde47           5         7         5         9         7         7         1         5         8         4         2         1         7         10        5         9         
Vardas48            Pavarde48           1         2         9         5         10        2         10        7         3         8         7         9         7         4         9         2         
Vardas49            Pavarde49           3         6         1         5         2         1         9         9         6         4         3         5         7         8         9         3         
Vardas50            Pavarde50           4         9         1         1         4         10        1         10        4         5         2         9         6         6         7         5         
Vardas51            Pavarde51           5         9         6         3         3         6         3         7         1         10        10        2         8         4         7         9         
Vardas52            Pavarde52           3         6         9         10        7         8         6         8         1         8         5         6         10        4         3         7         
Vardas53            Pavarde53           4         3         4         6         1         6         2         4         2         5         5         10        9         4         3         9         
Vardas54            Pavarde54           8         8         9         5         6         4         6         8         10        9         4         7         2         8         7         3         
Vardas55            Pavarde55           9         2         6         7         5         3         6         3         7         8         6         2         2         9         1         5         
Vardas56            Pavarde56           3         2         5         9         7         8         7         3         3         2         7         3         1         8         1         3         
Vardas57            Pavarde57           5         4         8         3         8         3         2         6         4         6         1         2         5         3         8         10        
Vardas58            Pavarde58           4         1         1         3         6         10        10        9         9         10        9         8         1         2         10        10        
Vardas59            Pavarde59           10        6         4         5         10        5         1         2         5         10        6         3         7         7         2         1         
Vardas60            Pavarde60           5         3         7         4         4         5         5         8         3         7         10        7         3         1         10        8         
Vardas61            Pavarde61           7         9         8         1         1         6         9         5         7         7         9         2         3         7         7         10        
Vardas62            Pavarde62           6         1         6         8         8         4         4         4         9         7         8         2         5         5         9         7         
Vardas63            Pavarde63           8         8         3         7         4         8         3         4         4         2         3         9         7         3         5         7         
Vardas64            Pavarde64           9         4         3         1         2         2         7         7         7         4         9         9         4         10        10        5         
Vardas65            Pavarde65           2         3         9         9         9         4         3         8         5         9         10        3         1         1         9         6         
Vardas66            Pavarde66           7         3         6         2         4         7         2         9         8         8         6         9         9         8         9         9         
Vardas67            Pavarde67           3         10        6         2         3         2         5         4         2         6         1         7         6         1         3         9         
Vardas68            Pavarde68           8         2         1         4         6         10        6         2         3         6         2         6         4         1         10        8         
Vardas69            Pavarde69           5         3         5         3         1         5         6         5         9         1         8         5         5         3         4         4         
Vardas70            Pavarde70           6         9         4         10        1         2         8         7         9         8         5         9         4         8         7         2         
Vardas71            Pavarde71           7         1         5         3         5         4         5         10        2         9         5         8         4         10        5         8         
Vardas72            Pavarde72           6         6         2         10        7         8         3         4         4         7         10        7         6         10        7         1         
Vardas73            Pavarde73           5         9         8         6         5         2         7         2         1         5         9         9         6         10        10        5         
Vardas74            Pavarde74           4         6         9         5         6         10        6         10        8         6         8         7         8         7         6         4         
Vardas75            Pavarde75           9         10        9         4         7         2         6         2         9         10        7         1         10        2         7         2         
Vardas76            Pavarde76           10        5         7         10        3         7         7         4         9         2         4         1         2         7         9         3         
Vardas77            Pavarde77           1         3         10        2         6         10        7         1         6         7         2         2         7         6         5         10        
Vardas78            Pavarde78           9         2         1         9         8         4         8         2         4         9         10        8         10        3         8         5         
Vardas79            Pavarde79           9         3         10        4         3         7         2         2         4         3         3         4         10        2         7         10        
Vardas80            Pavarde80           6         5         6         4         4         1         5         4         8         6         3         2         7         10        6         9         
Vardas81            Pavarde81           4         2         3         9         7         1         1         1         3         7         2         1         6         3         5         1         
Vardas82            Pavarde82           7         1         7         6         7         5         10        9         6         3         5         7         3         4         2         10        
Vardas83            Pavarde83           3         1         3         7         5         5         8         9         9         7         7         9         4         9         1         2         
Vardas84            Pavarde84           2         7         5         9         1         7         5         5         4         6         4         7         6         10        3         6         
Vardas85            Pavarde85           2         5         4         4         8         6         4         6         8         9         2         6         2         6         8         9         
Vardas86            Pavarde86           1         7         7         4         1         4         8         5         6         4         4         1         6         7         10        9         
Vardas87            Pavarde87           10        4         5         6         7         8         2         5         2         10        7         2         6         5         10        2         
Vardas88            Pavarde88           9         3         10        1         1         5         9         1         4         2         7         4         3         8         6         3         
Vardas89            Pavarde89           3         10        7         9         8         5         4         1         9         9         8         3         1         4         6         5         
Vardas90            Pavarde90           9         7         10        4         5         10        4         1         3         3         1         1         6         5         3         2         
Vardas91            Pavarde91           10        1         5         9         9         3         2         5         1         8         9         1         4         3         5         2         
Vardas92            Pavarde92           1         9         1         10        3         1         10        4         8         7         6         8         9         2         2         5         
Vardas93            Pavarde93           3         9         3         1         2         8         10        3         3         5         8         5         5         3         2         3         
Vardas94            Pavarde94           5         7         4         8         5         2         9         1         7         8         7         5         7         3         8         2         
Vardas95            Pavarde95           6         10        5         3         2         5         6         7         8         6         7         3         7         10        5         4         
Vardas96            Pavarde96           3         3         10        2         7         10        8         1         5         10        2         6         2         9         7         6         
Vardas97            Pavarde97           10        7         10        7         1         1         7         5         1         3         3         7         6         7         3         3         
Vardas98            Pavarde98           3         1         6         1         4         6         4         9         9         4         2         4         6         7         9         9         
Vardas99            Pavarde99           2         10        8         1         6         7         2         10        9         8         4         10        7         5         10        9         
Vardas100           Pavarde100          3         7         9         10        9         9         1         8         10        9         1         1         6         7         10        3         
Vardas101           Pavarde101          6         3         5         7         3         2         5         7         9         3         2         8         6         8         2         9         
Vardas102           Pavarde102          8         8         3         7         3         4         6         2         2         2         4         1         7         6         10        4         
Vardas103           Pavarde103          4         5         8         6         7         4         6         1         4         4         10        10        7         10        5         5         
Vardas104           Pavarde104          6         4         4         4         2         9         3         8         9         1         1         9         7         7         1         3         
Vardas105           Pavarde105          1         3         6         8         6         8         9         10        6         4         10        8         1         1         4         7         
Vardas106           Pavarde106          6         9         10        5         8         5         6         2         8         1         8         5         6         10        9         10        
Vardas107           Pavarde107          3         1         9         1         2         9         3         5         8         2         4         5         6         9         8         8         
Vardas108           Pavarde108          1         4         9         6         9         6         5         3         9         4         8         5         2         8         3         10        
Vardas109           Pavarde109          5         7         6         2         6         9         3         6         7         3         1         3         3         5         9         6         
Vardas110           Pavarde110          9         1         6         4         3         4         10        4         7         3         1         2         8         2         1         9         
Vardas111           Pavarde111          10        1         6         4         2         5         10        4         6         2         10        6         8         9         9         4         
Vardas112           Pavarde112          2         4         10        4         2         5         6         6         6         2         3         4         6         3         4         8         
Vardas113           Pavarde113          10        6         5         4         4         10        3         7         3         4         2         6         6         3         9         2         
Vardas114           Pavarde114          5         3         8         1         1         5         10        9         2         4         7         1         1         3         1         6         
Vardas115           Pavarde115          10        10        3         3         10        10        9         1         2         1         8         4         2         10        6         6         
Vardas116           Pavarde116          2         8         6         2         3         7         8         1         4         10        6         5         1         3         4         10        
Vardas117           Pavarde117          1         10        9         2         5         2         4         4         6         8         10        1         2         6         2         6         
Vardas118           Pavarde118          5         2         3         10        7         4         4         5         1         3         10        10        9         7         7         8         
Vardas119           Pavarde119          6         8         1         7         1         2         6         9         1         4         7         10        4         6         3         2         
Vardas120           Pavarde120          4         8         3         4         8         7         5         6         3         4         2         4         3         8         6         6         
Vardas121           Pavarde121          9         6         7         3         8         2         9         6         8         6         3         7         1         3         7         8         
Vardas122           Pavarde122          2         10        10        6         7         7         10        2         8         5         6         7         8         8         1         2         
Vardas123           Pavarde123          5         4         2         10        4         9         3         8         5         9         9         4         4         9         4         6         
Vardas124           Pavarde124          1         10        7         8         3         4         1         3         7         2         8         10        6         7         2         8         
Vardas125           Pavarde125          6         2         6         2         2         5         3         8         9         4         3         1         4         3         9         10        
Vardas126           Pavarde126          5         4         7         8         1         8         9         3         3         10        5         2         4         7         1         7         
Vardas127           Pavarde127          3         2         2         6         6         4         3         8         6         4         9         2         4         2         3         9         
Vardas128           Pavarde128          9         8         2         3         1         3         9         9         9         3         5         1         2         10        10        1         
Vardas129           Pavarde129          8         9         7         5         8         8         8         5         7         5         1         3         3         10        3         4         
Vardas130           Pavarde130          6         8         6         6         10        2         8         5         3         6         5         3         5         3         9         6         
Vardas131           Pavarde131          2         8         1         7         10        10        3         10        6         4         2         9         4         4         8         5         
Vardas132           Pavarde132          4         9         10        4         2         7         7         8         9         6         6         6         4         2         8         3         
Vardas133           Pavarde133          9         8         8         1         9         10        2         1         6         2         8         4         10        9         4         2         
Vardas134           Pavarde134          4         2         7         7         3         3         9         9         4         2         7         3         9         1         3         9         
Vardas135           Pavarde135          6         7         7         9         10        4         10        5         2         5         4         3         2         3         4         2         
Vardas136           Pavarde136          6         2         10        6         2         3         6         6         1         3         4         7         8         6         7         9         
Vardas137           Pavarde137          5         9         8         5         1         9         5         9         7         1         6         6         3         7         8         5         
Vardas138           Pavarde138          7         7         3         7         3         4         7         1         6         2         5         1         8         1         8         5         
Vardas139           Pavarde139          2         2         8         2         5         5         3         9         2         5         8         3         4         2         7         6         
Vardas140           Pavarde140          3         2         7         6         1         6         9         1         3         9         5         3         6         10        3         5         
Vardas141           Pavarde141          8         7         6         3         7         5         2         5         3         2         3         4         10        6         10        4         
Vardas142           Pavarde142          1         7         4         1         2         6         10        1         3         2         2         7         10        1         6         3         
Vardas143           Pavarde143          8         3         8         10        10        10        2         4         6         8         2         1         10        10        7         8         
Vardas144           Pavarde144          7         4         6         6         8         2         10        3         6         1         5         9         2         9         9         7         
Vardas145           Pavarde145          6         7         10        8         6         7         6         4         3         6         8         7         2         1         5         4         
Vardas146           Pavarde146          10        3         7         6         8         9         7         6         9         9         1         9         10        4         9         8         
Vardas147           Pavarde147          8         5         5         4         1         7         3         10        9         5         10        4         4         4         6         1         
Vardas148           Pavarde148          9         4         1         3         2         4         5         5         9         9         1         4         5         2         1         6         
Vardas149           Pavarde149          1         5         7         3         2         2         1         8         6         6         7         5         4         7         1         1         
Vardas150           Pavarde150          10        9         4         2         5         1         7         8         1         6         4         4         7         4         9         6         
Vardas151           Pavarde151          1         4         2         2         9         8         9         4         10        7         10        9         10        6         3         5         
Vardas152           Pavarde152          2         8         7         9         3         6         10        5         7         5         3         9         2         4         1         3         
Vardas153           Pavarde153          8         9         10        2         9         4         4         7         7         6         8         1         1         1         6         3         
Vardas154           Pavarde154          9         4         10        9         7         6         9         10        9         8         5         10        10        3         4         2         
Vardas155           Pavarde155          7         3         3         6         5         1         10        3         3         5         2         5         7         3         5         4         
Vardas156           Pavarde156          3         8         10        1         5         9         7         1         5         3         3         3         8         2         3         9         
Vardas157           Pavarde157          5         3         4         10        1         5         10        5         7         9         7         5         3         7         10        6         
Vardas158           Pavarde158          6         4         4         8         3         5         5         2         1         6         10        8         2         9         3         5         
Vardas159           Pavarde159          10        5         6         2         5         3         2         7         6         9         9         3         4         6         5         6         
Vardas160           Pavarde160          7         9         3         10        10        2         9         6         1         2         3         3         9         1         9         4         
Vardas161           Pavarde161          10        7         4         1         8         7         2         8         9         3         6         4         8         1         6         5         
Vardas162           Pavarde162          4         1         5         2         8         1         3         7         1         3         7         10        8         10        6         5         
Vardas163           Pavarde163          7         3         10        9         7         3         3         3         6         6         5         9         6         1         4         4         
Vardas164           Pavarde164          5         8         6         10        6         9         8         3         2         9         4         1         6         7         1         2         
Vardas165           Pavarde165          1         2         8         8         6         3         6         4         10        2         7         3         7         8         5         1         
Vardas166           Pavarde166          9         8         10        3         4         9         3         5         7         8         3         5         10        8         6         3         
Vardas167           Pavarde167          9         10        4         5         9         6         4         9         8         6         4         2         1         5         8         10        
Vardas168           Pavarde168          9         5         6         5         7         8         1         6         3         9         9         2         2         6         3         2         
Vardas169           Pavarde169          6         8         9         7         1         1         7         7         7         7         6         1         8         6         4         6         
Vardas170           Pavarde170          9         1         9         4         4         5         9         1         2         1         1         3         2         8         8         8         
Vardas171           Pavarde171          8         3         9         4         1         6         1         1         1         1         6         8         1         9         6         9         
Vardas172           Pavarde172          9         7         1         6         6         1         1         5         2         2         5         4         4         5         8         2         
Vardas173           Pavarde173          10        8         5         7         2         5         10        7         8         5         6         9         6         9         10        3         
Vardas174           Pavarde174          10        4         6         6         7         5         8         8         3         1         6         8         6         2         7         2         
Vardas175           Pavarde175          5         5         1         4         4         9         8         10        2         7         6         7         9         9         2         10        
Vardas176           Pavarde176          4         2         4         4         7         10        1         7         5         2         4         7         1         10        10        3         
Vardas177           Pavarde177          1         5         8         9         6         4         5         9         4         6         7         10        4         6         3         4         
Vardas178           Pavarde178          8         4         5         7         8         6         8         6         8         2         4         6         6         7         8         7         
Vardas179           Pavarde179          3         6         5         6         5         10        3         3         2         2         2         2         1         1         9         4         
Vardas180           Pavarde180          3         9         6         1         1         4         2         5         8         8         2         7         1         1         7         10        
Vardas181           Pavarde181          6         5         1         4         6         5         4         9         1         10        6         9         7         9         1         7         
Vardas182           Pavarde182          7         10        3         9         2         2         1         10        4         2         1         4         5         3         1         9         
Vardas183           Pavarde183          4         1         4         7         5         10        7         9         9         1         9         6         9         8         6         4         
Vardas184           Pavarde184          6         6         2         9         7         1         2         2         4         3         9         10        7         2         10        10        
Vardas185           Pavarde185          9         4         4         6         5         4         9         1         1         9         6         2         1         5         8         10        
Vardas186           Pavarde186          7         8         1         2         4         4         4         2         2         4         8         7         8         3         3         6         
Vardas187           Pavarde187          8         9         10        7         4         8         7         6         1         4         1         9         6         4         1         6         
Vardas188           Pavarde188          5         5         8         8         8         5         5         1         9         1         7         6         5         8         5         2         
Vardas189           Pavarde189          5         1         4         8         4         5         8         7         8         9         7         4         3         3         7         4         
Vardas190           Pavarde190          4         8         10        1         1         1         8         8         7         1         8         4         7         4         9         10        
Vardas191           Pavarde191          6         10        4         3         7         5         1         10        1         3         10        2         3         1         1         1         
Vardas192           Pavarde192          6         5         7         10        8         9         7         3         4         9         1         3         5         1         3         7         
Vardas193           Pavarde193          1         4         1         4         5         8         8         1         3         2         6         2         3         2         3         1         
Vardas194           Pavarde194          2         2         2         4         8         7         5         7         5         10        10        5         4         3         2         6         
Vardas195           Pavarde195          5         10        7         9         6         4         6         8         9         8         7         5         4         1         3         9         
Vardas196           Pavarde196          7         5         2         4         4         5         3         5         7         3         2         8         10        10        8         6         
Vardas197           Pavarde197          2         4         4         4         3         5         4         7         3         10        8         8         9         10        5         5         
Vardas198           Pavarde198          7         8         3         7         1         5         2         2         1         1         9         2         5         5         5         3         
Vardas199           Pavarde199          5         3         9         8         10        10        10        2         7         9         3         4         2         5         7         4         
Vardas200           Pavarde200          3         7         4         10        1         9         8         8         1         10        5         4         10        9         10        9         
Vardas201           Pavarde201          2         5         4         2         4         6         5         1         10        1         2         2         1         10        7         10        
Vardas202           Pavarde202          9         6         7         4         4         6         4         8         5         9         8         10        9         4         10        8         
Vardas203           Pavarde203          4         3         3         10        5         6         9         4         8         5         5         6         2         7         10        6         
Vardas204           Pavarde204          10        1         4         2         2         10        5         1         7         4         9         7         1         3         1         8         
Vardas205           Pavarde205          10        10        9         10        8         2         2         4         8         6         1         9         10        1         4         1         
Vardas206           Pavarde206          6         10        2         7         10        7         6         7         10        6         2         9         10        10        8         2         
Vardas207           Pavarde207          10        9         3         6         5         8         10        4         3         2         5         10        1         1         10        4         
Vardas208           Pavarde208          5         6         6         8         4         8         7         10        7         8         8         4         9         6         8         9         
Vardas209           Pavarde209          3         9         6         1         9         6         1         9         3         5         1         1         6         1         7         1         
Vardas210           Pavarde210          3         4         4         4         9         1         6         2         3         7         2         5         9         2         6         9         
Vardas211           Pavarde211          7         10        7         8         7         7         3         5         9         1         9         9         4         2         7         8         
Vardas212           Pavarde212          7         5         1         4         9         5         2         7         10        5         4         2         7         3         1         1         
Vardas213           Pavarde213          5         5         9         6         3         3         2         7         3         1         1         8         2         9         9         10        
Vardas214           Pavarde214          5         9         6         3         8         3         8         2         5         5         4         1         1         3         2         3         
Vardas215           Pavarde215          4         5         10        9         2         4         10        1         8         1         1         5         2         6         6         3         
Vardas216           Pavarde216          6         4         7         3         3         10        2         5         8         3         2         2         7         9         7         6         
Vardas217           Pavarde217          8         2         1         5         8         3         1         3         8         4         7         1         9         3         8         4         
Vardas218           Pavarde218          2         10        9         3         6         6         10        7         4         9         9         10        3         9         7         10        
Vardas219           Pavarde219          6         8         1         10        6         2         4         1         4         9         6         10        10        2         3         1         
Vardas220           Pavarde220          7         8         6         7         9         10        9         3         5         6         7         4         5         3         10        5         
Vardas221           Pavarde221          1         9         2         7         5         7         5         5         2         2         7         2         10        6         9         3         
Vardas222           Pavarde222          4         10        9         4         5         9         7         8         9         3         5         2         10        6         7         4         
